age,health,Health1,Health2,Health3,Health4,Health5,Death
91,5,0.00072277,0.02824024,0.05196009,0.13908994,0.53309380,0.24689315
91,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
92,1,0.32190377,0.24936185,0.10729668,0.04568472,0.15585622,0.11989675
92,2,0.02180750,0.44256780,0.26233537,0.12258415,0.04056597,0.11013921
92,3,0.01460552,0.09795876,0.51906829,0.22875022,0.05423007,0.08538714
92,4,0.00532222,0.03734693,0.10300011,0.58702158,0.13797347,0.12933569
92,5,0.00069305,0.02938011,0.05286767,0.13588251,0.52328799,0.25788866
92,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
93,1,0.30684922,0.24134235,0.10401778,0.04575480,0.16907992,0.13295593
93,2,0.02071091,0.42951265,0.25886541,0.12620145,0.04252086,0.12218872
93,3,0.01468924,0.09603946,0.50999494,0.23176355,0.05605037,0.09146245
93,4,0.00522195,0.03782133,0.10095185,0.58047547,0.13922796,0.13630144
93,5,0.00066398,0.03053958,0.05374462,0.13263432,0.51321867,0.26919882
93,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
94,1,0.29134784,0.23266168,0.10044230,0.04564468,0.18270386,0.14719962
94,2,0.01962848,0.41597431,0.25490927,0.12965486,0.04447713,0.13535595
94,3,0.01476225,0.09408648,0.50070084,0.23463879,0.05788791,0.09792374
94,4,0.00512090,0.03828180,0.09889278,0.57370335,0.14042067,0.14358050
94,5,0.00063557,0.03171653,0.05458744,0.12934844,0.50289471,0.28081731
94,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
95,1,0.27545975,0.22334475,0.09657958,0.04534227,0.19659070,0.16268294
95,2,0.01856104,0.40196206,0.25045242,0.13290497,0.04641938,0.14970013
95,3,0.01482387,0.09210025,0.49118700,0.23736168,0.05973836,0.10478883
95,4,0.00501909,0.03872691,0.09682330,0.56670348,0.14154698,0.15118024
95,5,0.00060781,0.03290861,0.05539262,0.12602825,0.49232633,0.29273639
95,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
96,1,0.25925908,0.21343033,0.09244501,0.04483796,0.21057544,0.17945217
96,2,0.01750962,0.38749162,0.24548419,0.13591029,0.04833044,0.16527385
96,3,0.01487344,0.09008137,0.48145529,0.23991750,0.06159697,0.11207542
96,4,0.00491655,0.03915520,0.09474389,0.55947467,0.14260220,0.15910750
96,5,0.00058072,0.03411328,0.05615662,0.12267738,0.48152516,0.30494685
96,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
97,1,0.24283373,0.20297181,0.08806044,0.04412529,0.22446657,0.19754216
97,2,0.01647547,0.37258598,0.23999863,0.13862783,0.05019137,0.18212072
97,3,0.01491028,0.08803059,0.47150850,0.24229125,0.06345851,0.11980088
97,4,0.00481329,0.03956516,0.09265513,0.55201633,0.14358160,0.16736848
97,5,0.00055429,0.03532774,0.05687594,0.11929980,0.47050420,0.31743803
97,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
98,1,0.22628435,0.19203738,0.08345429,0.04320159,0.23804885,0.21697354
98,2,0.01546010,0.35727611,0.23399538,0.14101385,0.05198171,0.20027284
98,3,0.01493371,0.08594884,0.46135041,0.24446763,0.06531729,0.12798211
98,4,0.00470935,0.03995528,0.09055772,0.54432858,0.14448045,0.17596862
98,5,0.00052854,0.03654902,0.05754713,0.11589971,0.45927780,0.33019779
98,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
99,1,0.20972263,0.18070955,0.07866141,0.04206852,0.25108789,0.23775000
99,2,0.01446523,0.34160155,0.22748051,0.14302486,0.05367976,0.21974809
99,3,0.01494310,0.08383728,0.45098593,0.24643119,0.06716719,0.13663531
99,4,0.00460478,0.04032402,0.08845243,0.53641224,0.14529400,0.18491252
99,5,0.00050347,0.03777393,0.05816681,0.11248159,0.44786164,0.34321256
99,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
