age,health,Health1,Health2,Health3,Health4,Health5,Death
85,2,0.05652202,0.60937677,0.22619125,0.03743766,0.02078067,0.04969163
85,3,0.01081074,0.11804403,0.59186712,0.17424581,0.02577833,0.07925396
85,4,0.00648401,0.02290044,0.15218441,0.56563912,0.12913712,0.12365490
85,5,0.00067414,0.00671181,0.03124760,0.12615642,0.52957056,0.30563946
85,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
86,1,0.59127890,0.24633813,0.07012403,0.02995529,0.01106475,0.05123890
86,2,0.05509051,0.60129460,0.22716291,0.03825685,0.02279023,0.05540490
86,3,0.01066881,0.11576054,0.58465977,0.17591296,0.02631698,0.08668093
86,4,0.00648312,0.02277287,0.14945611,0.55978382,0.12993161,0.13157248
86,5,0.00061872,0.00671985,0.03115313,0.12261540,0.51911633,0.31977658
86,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
87,1,0.58404936,0.24479582,0.07126259,0.03117535,0.01156168,0.05715519
87,2,0.05363956,0.59270430,0.22790215,0.03905343,0.02496819,0.06173237
87,3,0.01051961,0.11342282,0.57703957,0.17744211,0.02684360,0.09473228
87,4,0.00647815,0.02263177,0.14668443,0.55364079,0.13064878,0.13991608
87,5,0.00056730,0.00672134,0.03102866,0.11905757,0.50837232,0.33425281
87,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
88,1,0.57639984,0.24304880,0.07235582,0.03241651,0.01207029,0.06370873
88,2,0.05216756,0.58357366,0.22838430,0.03982135,0.02732325,0.06872988
88,3,0.01036285,0.11102883,0.56898839,0.17881789,0.02735527,0.10344678
88,4,0.00646892,0.02247671,0.14386915,0.54720383,0.13128321,0.14869818
88,5,0.00051963,0.00671613,0.03087388,0.11548776,0.49735448,0.34904811
88,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
89,1,0.56830236,0.24108172,0.07339503,0.03367460,0.01258913,0.07095717
89,2,0.05067297,0.57387043,0.22858337,0.04055396,0.02986333,0.07645595
89,3,0.01019822,0.10857676,0.56048893,0.18002428,0.02784883,0.11286298
89,4,0.00645523,0.02230726,0.14101027,0.54046750,0.13182945,0.15793030
89,5,0.00047549,0.00670410,0.03068864,0.11191106,0.48608061,0.36414010
89,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
90,1,0.55972862,0.23887875,0.07437077,0.03494469,0.01311644,0.07896074
90,2,0.04915442,0.56356284,0.22847220,0.04124401,0.03259526,0.08497128
90,3,0.01002545,0.10606513,0.55152511,0.18104470,0.02832093,0.12301868
90,4,0.00643690,0.02212304,0.13810804,0.53342725,0.13228203,0.16762274
90,5,0.00043465,0.00668516,0.03047291,0.10833281,0.47457027,0.37950420
90,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
91,1,0.55065046,0.23642381,0.07527284,0.03622099,0.01365013,0.08778177
91,2,0.04761072,0.55262039,0.22802272,0.04188366,0.03552439,0.09433812
91,3,0.00984431,0.10349282,0.54208245,0.18186216,0.02876802,0.13395023
91,4,0.00641375,0.02192371,0.13516300,0.52607956,0.13263554,0.17778444
91,5,0.00039689,0.00665925,0.03022685,0.10475857,0.46284469,0.39511374
91,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
92,1,0.54104041,0.23370074,0.07609035,0.03749684,0.01418772,0.09748393
92,2,0.04604098,0.54101458,0.22720633,0.04246448,0.03865417,0.10461947
92,3,0.00965461,0.10085915,0.53214862,0.18245947,0.02918636,0.14569180
92,4,0.00638563,0.02170897,0.13217597,0.51842209,0.13288463,0.18842271
92,5,0.00036203,0.00662636,0.02995074,0.10119406,0.45092669,0.41094011
92,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
93,1,0.53087231,0.23069365,0.07681172,0.03876463,0.01472636,0.10813132
93,2,0.04444460,0.52871999,0.22599426,0.04297756,0.04198564,0.11587796
93,3,0.00945617,0.09816400,0.52171385,0.18281942,0.02957207,0.15827450
93,4,0.00635238,0.02147856,0.12914810,0.51045376,0.13302414,0.19954307
93,5,0.00032987,0.00658651,0.02964507,0.09764512,0.43884047,0.42695296
93,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
94,1,0.52012209,0.22738722,0.07742483,0.04001580,0.01526276,0.11978730
94,2,0.04282141,0.51571536,0.22435821,0.04341354,0.04551691,0.12817457
94,3,0.00924893,0.09540785,0.51077158,0.18292504,0.02992116,0.17172546
94,4,0.00631385,0.02123229,0.12608088,0.50217492,0.13304908,0.21114898
94,5,0.00030024,0.00653973,0.02931045,0.09411768,0.42661150,0.44312039
94,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
95,1,0.50876867,0.22376714,0.07791712,0.04124082,0.01579321,0.13251304
95,2,0.04117173,0.50198481,0.22227094,0.04376277,0.04924260,0.14156713
95,3,0.00903283,0.09259188,0.49931894,0.18275991,0.03022957,0.18606685
95,4,0.00626993,0.02097003,0.12297617,0.49358748,0.13295473,0.22324166
95,5,0.00027298,0.00648614,0.02894767,0.09061770,0.41426628,0.45940923
95,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
96,1,0.49679498,0.21982057,0.07827576,0.04242919,0.01631359,0.14636591
96,2,0.03949645,0.48751926,0.21970711,0.04401546,0.05315326,0.15610847
96,3,0.00880795,0.08971807,0.48735737,0.18230850,0.03049326,0.20131485
96,4,0.00622052,0.02069171,0.11983619,0.48469502,0.13273670,0.23581986
96,5,0.00024791,0.00642584,0.02855768,0.08715112,0.40183219,0.47578526
96,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
97,1,0.48418899,0.21553670,0.07848787,0.04356955,0.01681936,0.16139752
97,2,0.03779708,0.47231779,0.21664410,0.04416181,0.05723479,0.17184444
97,3,0.00857442,0.08678922,0.47489314,0.18155648,0.03070822,0.21747852
